35.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
07:09:59.0 (86239)|USER_INFO|[EXTERNAL]|005B0000001VpZR|rreboucas-yi5c@force.com|Pacific Standard Time|GMT-07:00
07:09:59.0 (122267)|EXECUTION_STARTED
07:09:59.0 (126358)|CODE_UNIT_STARTED|[EXTERNAL]|066B0000000O9hh|VF: /apex/testautonumdata__RecruitmentHome_LDS
07:09:59.0 (3886372)|SYSTEM_MODE_ENTER|true
07:09:59.0 (4358242)|HEAP_ALLOCATE|[72]|Bytes:3
07:09:59.0 (4402079)|HEAP_ALLOCATE|[77]|Bytes:152
07:09:59.0 (4418103)|HEAP_ALLOCATE|[342]|Bytes:408
07:09:59.0 (4437801)|HEAP_ALLOCATE|[355]|Bytes:408
07:09:59.0 (4455908)|HEAP_ALLOCATE|[467]|Bytes:48
07:09:59.0 (4497988)|HEAP_ALLOCATE|[139]|Bytes:6
07:09:59.0 (4526713)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
07:09:59.0 (4542311)|METHOD_ENTRY|[1]|01pB0000000dwRE|MyCustomController.MyCustomController()
07:09:59.0 (4548643)|STATEMENT_EXECUTE|[1]
07:09:59.0 (4558371)|STATEMENT_EXECUTE|[1]
07:09:59.0 (4601116)|HEAP_ALLOCATE|[50]|Bytes:5
07:09:59.0 (4637464)|HEAP_ALLOCATE|[56]|Bytes:5
07:09:59.0 (4653199)|HEAP_ALLOCATE|[64]|Bytes:7
07:09:59.0 (4676709)|SYSTEM_MODE_ENTER|false
07:09:59.0 (4697561)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
07:09:59.0 (4708855)|SYSTEM_MODE_EXIT|false
07:09:59.0 (4721182)|METHOD_EXIT|[1]|MyCustomController
07:09:59.0 (4778282)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:09:59.0 (4791718)|VARIABLE_SCOPE_BEGIN|[5]|this|testautonumdata.MyCustomController|true|false
07:09:59.0 (4847752)|VARIABLE_ASSIGNMENT|[5]|this|{}|0x5dd957d8
07:09:59.0 (4862126)|SYSTEM_MODE_ENTER|false
07:09:59.0 (4870639)|HEAP_ALLOCATE|[6]|Bytes:5
07:09:59.0 (4876034)|STATEMENT_EXECUTE|[1]
07:09:59.0 (4881141)|HEAP_ALLOCATE|[6]|Bytes:5
07:09:59.0 (4884723)|STATEMENT_EXECUTE|[3]
07:09:59.0 (4900346)|HEAP_ALLOCATE|[6]|Bytes:6
07:09:59.0 (4935115)|STATEMENT_EXECUTE|[5]
07:09:59.0 (4938562)|STATEMENT_EXECUTE|[6]
07:09:59.0 (4959467)|HEAP_ALLOCATE|[6]|Bytes:4
07:09:59.0 (5190695)|VARIABLE_ASSIGNMENT|[6]|this.account|{}|0x5dd957d8
07:09:59.0 (5200104)|SYSTEM_MODE_EXIT|false
07:09:59.0 (5281786)|SYSTEM_MODE_ENTER|true
07:09:59.0 (5350814)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:09:59.0 (5362572)|VARIABLE_SCOPE_BEGIN|[9]|this|testautonumdata.MyCustomController|true|false
07:09:59.0 (5389518)|VARIABLE_ASSIGNMENT|[9]|this|{"account":"0x123a908b"}|0x5dd957d8
07:09:59.0 (5404523)|SYSTEM_MODE_ENTER|false
07:09:59.0 (5411893)|HEAP_ALLOCATE|[12]|Bytes:5
07:09:59.0 (5417488)|STATEMENT_EXECUTE|[9]
07:09:59.0 (5419836)|STATEMENT_EXECUTE|[12]
07:09:59.0 (5426864)|HEAP_ALLOCATE|[12]|Bytes:29
07:09:59.0 (6193996)|HEAP_ALLOCATE|[12]|Bytes:4
07:09:59.0 (6273369)|HEAP_ALLOCATE|[12]|Bytes:2
07:09:59.0 (7018392)|HEAP_ALLOCATE|[12]|Bytes:8
07:09:59.0 (7053567)|VARIABLE_SCOPE_BEGIN|[12]|userHasAccesstoField1|Boolean|false|false
07:09:59.0 (7062938)|HEAP_ALLOCATE|[12]|Bytes:5
07:09:59.0 (7074364)|VARIABLE_ASSIGNMENT|[12]|userHasAccesstoField1|true
07:09:59.0 (7078967)|STATEMENT_EXECUTE|[13]
07:09:59.0 (7153618)|HEAP_ALLOCATE|[13]|Bytes:4
07:09:59.0 (7206476)|HEAP_ALLOCATE|[13]|Bytes:33
07:09:59.0 (12031500)|HEAP_ALLOCATE|[13]|Bytes:8
07:09:59.0 (12055444)|VARIABLE_SCOPE_BEGIN|[13]|userHasAccesstoField2|Boolean|false|false
07:09:59.0 (12062143)|HEAP_ALLOCATE|[13]|Bytes:5
07:09:59.0 (12068977)|VARIABLE_ASSIGNMENT|[13]|userHasAccesstoField2|true
07:09:59.0 (12072224)|STATEMENT_EXECUTE|[14]
07:09:59.0 (12129760)|HEAP_ALLOCATE|[14]|Bytes:4
07:09:59.0 (12173503)|HEAP_ALLOCATE|[14]|Bytes:40
07:09:59.0 (12355477)|HEAP_ALLOCATE|[14]|Bytes:8
07:09:59.0 (12375567)|VARIABLE_SCOPE_BEGIN|[14]|userHasAccesstoField3|Boolean|false|false
07:09:59.0 (12381447)|HEAP_ALLOCATE|[14]|Bytes:5
07:09:59.0 (12387866)|VARIABLE_ASSIGNMENT|[14]|userHasAccesstoField3|true
07:09:59.0 (12390910)|STATEMENT_EXECUTE|[15]
07:09:59.0 (12443179)|HEAP_ALLOCATE|[15]|Bytes:4
07:09:59.0 (12496594)|HEAP_ALLOCATE|[15]|Bytes:4
07:09:59.0 (12713314)|HEAP_ALLOCATE|[15]|Bytes:8
07:09:59.0 (12741308)|VARIABLE_SCOPE_BEGIN|[15]|userHasAccesstoField4|Boolean|false|false
07:09:59.0 (12750429)|HEAP_ALLOCATE|[15]|Bytes:5
07:09:59.0 (12759815)|VARIABLE_ASSIGNMENT|[15]|userHasAccesstoField4|true
07:09:59.0 (12763981)|STATEMENT_EXECUTE|[16]
07:09:59.0 (12771476)|VARIABLE_SCOPE_BEGIN|[16]|candidates|List<testautonumdata__Candidate__c>|true|false
07:09:59.0 (12779932)|VARIABLE_ASSIGNMENT|[16]|candidates|null|
07:09:59.0 (12790922)|STATEMENT_EXECUTE|[18]
07:09:59.0 (12793471)|STATEMENT_EXECUTE|[19]
07:09:59.0 (12799900)|HEAP_ALLOCATE|[19]|Bytes:254
07:09:59.0 (12816122)|HEAP_ALLOCATE|[19]|Bytes:4
07:09:59.0 (13460721)|SOQL_EXECUTE_BEGIN|[19]|Aggregations:0|SELECT id, Name, testautonumdata__Average_Score__c, testautonumdata__Number_of_Interviews__c FROM testautonumdata__Candidate__c ORDER BY testautonumdata__Number_of_Interviews__c DESC NULLS FIRST, testautonumdata__Average_Score__c DESC NULLS FIRST LIMIT 3
07:09:59.0 (17712220)|SOQL_EXECUTE_END|[19]|Rows:3
07:09:59.0 (17734487)|HEAP_ALLOCATE|[19]|Bytes:16
07:09:59.0 (17758336)|HEAP_ALLOCATE|[19]|Bytes:610
07:09:59.0 (17800992)|HEAP_ALLOCATE|[19]|Bytes:16
