40.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
08:42:21.0 (106988)|USER_INFO|[EXTERNAL]|005B0000000QdZu|hualei.hang@salesforce.com.sparkle|Pacific Standard Time|GMT-07:00
08:42:21.0 (179792)|EXECUTION_STARTED
08:42:21.0 (187109)|CODE_UNIT_STARTED|[EXTERNAL]|Aura
08:42:21.0 (13313771)|HEAP_ALLOCATE|[72]|Bytes:3
08:42:21.0 (13382467)|HEAP_ALLOCATE|[77]|Bytes:152
08:42:21.0 (13407053)|HEAP_ALLOCATE|[342]|Bytes:408
08:42:21.0 (13430345)|HEAP_ALLOCATE|[355]|Bytes:408
08:42:21.0 (13452159)|HEAP_ALLOCATE|[467]|Bytes:48
08:42:21.0 (13490656)|HEAP_ALLOCATE|[139]|Bytes:6
08:42:21.0 (13517305)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
08:42:21.0 (13529335)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:18
08:42:21.0 (13580859)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:29
08:42:21.0 (13589136)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:29
08:42:21.0 (13626146)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:30
08:42:21.0 (13633493)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:30
08:42:21.0 (15343753)|CODE_UNIT_STARTED|[EXTERNAL]|01pB0000000r382|Twitter_Lightning_Controller.getRecordDetails
08:42:21.0 (15417407)|VARIABLE_SCOPE_BEGIN|[3]|Twitter_Lightning_Controller.mapObjectsFields|Map<String,Set<String>>|true|true
08:42:21.0 (15500303)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:384
08:42:21.0 (15510616)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:60
08:42:21.0 (15515734)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:126
08:42:21.0 (15534088)|METHOD_ENTRY|[1]|01pB0000000r382|Twitter_Lightning_Controller.Twitter_Lightning_Controller()
08:42:21.0 (15541569)|STATEMENT_EXECUTE|[1]
08:42:21.0 (15548770)|STATEMENT_EXECUTE|[1]
